1,0.81009,0.81009,-0,8.4472e-07
2,0.34657,0.34487,-0,0.0017084
3,-0,-3.8259e-08,2.5172e-08,1.4852e-08
4,0.27031,0.27029,2.3443e-05,-0
5,-0,2.5496e-11,1.2314e-10,1.4787e-11
6,-0,2.5496e-11,1.2314e-10,1.4787e-11
7,0.086646,0.064743,-0,0.021902
8,0.044405,0.043502,-0,0.00090326
9,1.8476,1.7021,0.14553,-0
10,0.35686,0.26434,0.092518,-0
11,0.33062,0.14021,0.19041,-0
12,0.073886,0.073885,6.6486e-07,-0
13,-0,-3.8259e-08,2.5172e-08,1.4852e-08
14,0.31978,0.26712,0.052664,-0
15,0.3662,0.36616,4.7545e-05,-0
16,-0,-7.4579e-10,8.3492e-10,4.8311e-10
17,-0,-3.8259e-08,2.5172e-08,1.4852e-08
18,0.27031,0.27031,1.0069e-06,-0
19,0.2576,0.13826,0.11934,-0
20,0.59488,0.22015,0.37473,-0
21,0.18662,0.13591,0.050717,-0
22,-0,-7.4579e-10,8.3492e-10,4.8311e-10
23,-0,4.334e-11,1.4396e-10,2.5351e-11
24,-0,4.334e-11,1.4396e-10,2.5351e-11
25,-0,4.334e-11,1.4396e-10,2.5351e-11
26,0.057058,0.056999,-0,5.9713e-05
27,0.36041,0.15057,-0,0.20985
28,-0,-3.8259e-08,2.5172e-08,1.4852e-08
29,-0,-3.8259e-08,2.5172e-08,1.4852e-08
30,0.29877,0.22291,0.075863,3.8314e-13
31,0.34657,0.34657,-0,-0
32,-0,2.5496e-11,1.2314e-10,1.4787e-11
33,-0,4.334e-11,1.4396e-10,2.5351e-11
34,0.21799,0.21758,1.0392e-13,0.00041138
35,NaN,NaN,NaN,NaN
36,-0,2.5496e-11,1.2314e-10,1.4787e-11
37,0.47739,0.12168,0.35571,-0
38,0.28001,0.20122,0.078791,-0
39,0.56481,0.56479,1.3455e-05,-0
40,0.20708,6.2938e-05,0.20701,-0
41,0.30995,0.1885,0.12145,-0
42,0.49608,0.49608,-0,-0
43,0.25458,0.25457,-0,4.9021e-06
44,0.31441,0.3144,-0,1.037e-05
45,0.59296,0.59275,-0,0.00020969
46,0.67554,0.67553,1.3604e-05,-0
47,0.79656,0.79656,1.3323e-15,1.3323e-15
48,0.15193,0.021897,0.13004,-0
49,0.1885,0.1885,2.7708e-06,-0
50,0.66905,0.34393,0.32511,-0
51,0.33062,0.30365,-0,0.026974
52,-0,4.334e-11,1.4396e-10,2.5351e-11
53,0.27031,0.27024,-0,7.296e-05
54,0.19547,0.19546,-0,4.723e-06
55,0.17106,0.059742,0.11132,-0
56,0.16419,0.055534,0.10865,-0
57,0.36785,0.36783,2.2979e-05,-0
58,0.28168,0.057709,0.22397,-0
59,0.083061,0.070116,0.012945,-0
60,-0,-7.4579e-10,8.3492e-10,4.8311e-10
61,0.50437,0.13648,-0,0.36789
62,-0,4.334e-11,1.4396e-10,2.5351e-11
63,-0,4.334e-11,1.4396e-10,2.5351e-11
64,0.25993,5.1143e-05,0.25988,-0
65,0.35132,0.00060703,0.35071,4.4409e-15
66,0.3065,0.26668,0.039814,-0
67,0.14979,1.5288e-05,0.14977,-0
68,0.51671,0.51671,-0,1.2863e-06
69,0.12402,0.12392,-0,0.00010114
70,-0,2.5496e-11,1.2314e-10,1.4787e-11
71,0.28168,0.1532,-0,0.12848
72,-0,4.334e-11,1.4396e-10,2.5351e-11
73,-0,-3.8259e-08,2.5172e-08,1.4852e-08
74,0.13213,0.044683,0.087446,-0
75,0.068815,0.068757,5.7429e-05,-0
76,0.29877,0.090417,0.20836,-0
77,-0,4.334e-11,1.4396e-10,2.5351e-11
78,0.62838,0.62838,-0,3.1982e-06
79,0.19547,0.19546,-0,4.723e-06
80,0.32508,0.018004,-0,0.30708
81,0.61034,0.61026,-0,8.055e-05
82,0.1047,0.1047,7.4689e-07,-0
83,-0,-3.8259e-08,2.5172e-08,1.4852e-08
84,0.16419,0.099553,0.064632,-0
85,-0,2.5496e-11,1.2314e-10,1.4787e-11
86,-0,4.334e-11,1.4396e-10,2.5351e-11
87,-0,4.334e-11,1.4396e-10,2.5351e-11
88,0.35993,0.0023591,-0,0.35757
89,0.34657,0.34656,-0,9.8696e-06
90,-0,2.5496e-11,1.2314e-10,1.4787e-11
91,0.31785,0.29372,0.024131,-0
92,-0,-3.8259e-08,2.5172e-08,1.4852e-08
93,0.29877,0.16597,0.1328,-0
94,0.36744,0.35817,0.0092691,-0
95,-0,-7.4579e-10,8.3492e-10,4.8311e-10
96,0.19286,0.090733,0.10213,-0
97,-0,4.334e-11,1.4396e-10,2.5351e-11
98,0.044405,0.044387,-0,1.8743e-05
99,0.29863,1.4885e-05,-0,0.29861
100,-0,-7.4579e-10,8.3492e-10,4.8311e-10
101,0.49584,0.29603,0.19981,-0
102,0.54432,0.19484,0.34948,-0
103,0.22502,0.21508,0.0099389,7.7716e-16
104,0.068815,0.068797,1.7648e-05,-0
105,0.20514,0.18728,-0,0.017867
106,-0,2.5496e-11,1.2314e-10,1.4787e-11
107,0.16666,0.0020441,1.4655e-13,0.16461
108,0.051222,0.051118,-0,0.00010391
109,0.85874,0.85874,-0,-0
110,-0,-7.4579e-10,8.3492e-10,4.8311e-10
111,0.24967,0.041475,0.2082,-0
112,-0,-7.4579e-10,8.3492e-10,4.8311e-10
113,0.33062,0.30052,0.030097,1.3323e-15
114,0.053983,0.05398,-0,2.922e-06
115,0.13415,0.11205,-0,0.0221
116,0.31978,0.19284,-0,0.12694
117,0.36266,0.35782,1.3234e-13,0.0048399
