GS,id,par
G1S91,91,TU-VICTIMA
G1S92,92,EX GUERRILLERO-ESTUDIANTE
G1S92,92,EX GUERRILLERO-EX GUERRILLERO
G1S92,92,TU-ESTUDIANTE
G1S92,92,TU-EX GUERRILLERO
G1S93,93,EX PARAMILITAR-ESTUDIANTE
G1S93,93,EX PARAMILITAR-EX GUERRILLERO
G1S93,93,TU-ESTUDIANTE
G1S93,93,TU-EX GUERRILLERO
G1S94,94,TU-ESTUDIANTE
G1S94,94,TU-EX PARAMILITAR
G1S94,94,VICTIMA-ESTUDIANTE
G1S94,94,VICTIMA-EX PARAMILITAR
G1S95,95,EX GUERRILLERO-ESTUDIANTE
G1S95,95,EX GUERRILLERO-EX PARAMILITAR
G1S95,95,TU-ESTUDIANTE
G1S95,95,TU-EX PARAMILITAR
G1S96,96,EX PARAMILITAR-ESTUDIANTE
G1S96,96,EX PARAMILITAR-EX PARAMILITAR
G1S96,96,TU-ESTUDIANTE
G1S96,96,TU-EX PARAMILITAR
G1S97,97,EX PARAMILITAR-ESTUDIANTE
G1S97,97,EX PARAMILITAR-EX GUERRILLERO
G1S97,97,TU-ESTUDIANTE
G1S97,97,TU-EX GUERRILLERO
G1S98,98,EX PARAMILITAR-ESTUDIANTE
G1S98,98,EX PARAMILITAR-EX GUERRILLERO
G1S98,98,TU-ESTUDIANTE
G1S98,98,TU-EX GUERRILLERO
G1S99,99,TU-ESTUDIANTE
G1S99,99,TU-EX PARAMILITAR
G1S99,99,VICTIMA-ESTUDIANTE
G1S99,99,VICTIMA-EX PARAMILITAR
G1S100,100,EX PARAMILITAR-ESTUDIANTE
G1S100,100,EX PARAMILITAR-EX PARAMILITAR
G1S100,100,TU-ESTUDIANTE
G1S100,100,TU-EX PARAMILITAR
G1S101,101,TU-ESTUDIANTE
G1S101,101,TU-EX GUERRILLERO
G1S101,101,VICTIMA-ESTUDIANTE
G1S101,101,VICTIMA-EX GUERRILLERO
G1S102,102,TU-ESTUDIANTE
G1S102,102,TU-VICTIMA
G1S102,102,VICTIMA-ESTUDIANTE
G1S102,102,VICTIMA-VICTIMA
G1S103,103,TU-ESTUDIANTE
G1S103,103,TU-VICTIMA
G1S103,103,VICTIMA-ESTUDIANTE
G1S103,103,VICTIMA-VICTIMA
G1S104,104,EX PARAMILITAR-ESTUDIANTE
G1S104,104,EX PARAMILITAR-EX PARAMILITAR
G1S104,104,TU-ESTUDIANTE
G1S104,104,TU-EX PARAMILITAR
G1S105,105,EX GUERRILLERO-ESTUDIANTE
G1S105,105,EX GUERRILLERO-EX GUERRILLERO
G1S105,105,TU-ESTUDIANTE
G1S105,105,TU-EX GUERRILLERO
G1S106,106,TU-ESTUDIANTE
G1S106,106,TU-EX GUERRILLERO
G1S106,106,VICTIMA-ESTUDIANTE
G1S106,106,VICTIMA-EX GUERRILLERO
G1S107,107,EX GUERRILLERO-ESTUDIANTE
G1S107,107,EX GUERRILLERO-EX GUERRILLERO
G1S107,107,TU-ESTUDIANTE
G1S107,107,TU-EX GUERRILLERO
G1S108,108,EX PARAMILITAR-ESTUDIANTE
G1S108,108,EX PARAMILITAR-VICTIMA
G1S108,108,TU-ESTUDIANTE
G1S108,108,TU-VICTIMA
G1S109,109,EX PARAMILITAR-ESTUDIANTE
G1S109,109,EX PARAMILITAR-VICTIMA
G1S109,109,TU-ESTUDIANTE
G1S109,109,TU-VICTIMA
G1S110,110,TU-ESTUDIANTE
G1S110,110,TU-EX GUERRILLERO
G1S110,110,VICTIMA-ESTUDIANTE
G1S110,110,VICTIMA-EX GUERRILLERO
G1S111,111,EX PARAMILITAR-ESTUDIANTE
G1S111,111,EX PARAMILITAR-EX GUERRILLERO
G1S111,111,TU-ESTUDIANTE
G1S111,111,TU-EX GUERRILLERO
G1S112,112,TU-ESTUDIANTE
G1S112,112,TU-EX GUERRILLERO
G1S112,112,VICTIMA-ESTUDIANTE
G1S112,112,VICTIMA-EX GUERRILLERO
G1S113,113,EX GUERRILLERO-ESTUDIANTE
G1S113,113,EX GUERRILLERO-EX PARAMILITAR
G1S113,113,TU-ESTUDIANTE
G1S113,113,TU-EX PARAMILITAR
G1S114,114,EX PARAMILITAR-ESTUDIANTE
G1S114,114,EX PARAMILITAR-EX GUERRILLERO
G1S114,114,TU-ESTUDIANTE
G1S114,114,TU-EX GUERRILLERO
G1S115,115,EX GUERRILLERO-ESTUDIANTE
G1S115,115,EX GUERRILLERO-EX GUERRILLERO
G1S115,115,TU-ESTUDIANTE
G1S115,115,TU-EX GUERRILLERO
G1S116,116,EX PARAMILITAR-ESTUDIANTE
G1S116,116,EX PARAMILITAR-VICTIMA
G1S116,116,TU-ESTUDIANTE
G1S116,116,TU-VICTIMA
G1S117,117,EX GUERRILLERO-ESTUDIANTE
G1S117,117,EX GUERRILLERO-VICTIMA
G1S117,117,TU-ESTUDIANTE
G1S117,117,TU-VICTIMA
G1S118,118,TU-ESTUDIANTE
G1S118,118,TU-EX PARAMILITAR
G1S118,118,VICTIMA-ESTUDIANTE
G1S118,118,VICTIMA-EX PARAMILITAR
G1S119,119,EX PARAMILITAR-ESTUDIANTE
G1S119,119,EX PARAMILITAR-EX PARAMILITAR
G1S119,119,TU-ESTUDIANTE
G1S119,119,TU-EX PARAMILITAR
G1S120,120,TU-ESTUDIANTE
G1S120,120,TU-EX PARAMILITAR
G1S120,120,VICTIMA-ESTUDIANTE
G1S120,120,VICTIMA-EX PARAMILITAR
G1S121,121,EX GUERRILLERO-ESTUDIANTE
G1S121,121,EX GUERRILLERO-VICTIMA
G1S121,121,TU-ESTUDIANTE
G1S121,121,TU-VICTIMA
G1S122,122,EX GUERRILLERO-ESTUDIANTE
G1S122,122,EX GUERRILLERO-EX PARAMILITAR
G1S122,122,TU-ESTUDIANTE
G1S122,122,TU-EX PARAMILITAR
G1S123,123,EX GUERRILLERO-ESTUDIANTE
G1S123,123,EX GUERRILLERO-EX PARAMILITAR
G1S123,123,TU-ESTUDIANTE
G1S123,123,TU-EX PARAMILITAR
G1S124,124,EX GUERRILLERO-ESTUDIANTE
G1S124,124,EX GUERRILLERO-VICTIMA
G1S124,124,TU-ESTUDIANTE
G1S124,124,TU-VICTIMA
G1S125,125,EX PARAMILITAR-ESTUDIANTE
G1S125,125,EX PARAMILITAR-VICTIMA
G1S125,125,TU-ESTUDIANTE
G1S125,125,TU-VICTIMA
G1S126,126,EX PARAMILITAR-ESTUDIANTE
G1S126,126,EX PARAMILITAR-EX PARAMILITAR
G1S126,126,TU-ESTUDIANTE
G1S126,126,TU-EX PARAMILITAR
G1S127,127,TU-ESTUDIANTE
G1S127,127,TU-EX GUERRILLERO
G1S127,127,VICTIMA-ESTUDIANTE
G1S127,127,VICTIMA-EX GUERRILLERO
G1S128,128,EX GUERRILLERO-ESTUDIANTE
G1S128,128,EX GUERRILLERO-VICTIMA
G1S128,128,TU-ESTUDIANTE
G1S128,128,TU-VICTIMA
G1S129,129,EX PARAMILITAR-ESTUDIANTE
G1S129,129,EX PARAMILITAR-VICTIMA
G1S129,129,TU-ESTUDIANTE
G1S129,129,TU-VICTIMA
G1S130,130,EX GUERRILLERO-ESTUDIANTE
G1S130,130,EX GUERRILLERO-VICTIMA
G1S130,130,TU-ESTUDIANTE
G1S130,130,TU-VICTIMA
G1S131,131,TU-ESTUDIANTE
G1S131,131,TU-EX PARAMILITAR
G1S131,131,VICTIMA-ESTUDIANTE
G1S131,131,VICTIMA-EX PARAMILITAR
G1S132,132,TU-ESTUDIANTE
G1S132,132,TU-EX GUERRILLERO
G1S132,132,VICTIMA-ESTUDIANTE
G1S132,132,VICTIMA-EX GUERRILLERO
G1S133,133,EX PARAMILITAR-ESTUDIANTE
G1S133,133,EX PARAMILITAR-VICTIMA
G1S133,133,TU-ESTUDIANTE
G1S133,133,TU-VICTIMA
G1S134,134,EX PARAMILITAR-ESTUDIANTE
G1S134,134,EX PARAMILITAR-VICTIMA
G1S134,134,TU-ESTUDIANTE
G1S134,134,TU-VICTIMA
G1S135,135,EX GUERRILLERO-ESTUDIANTE
G1S135,135,EX GUERRILLERO-VICTIMA
G1S135,135,TU-ESTUDIANTE
G1S135,135,TU-VICTIMA
G2S1,136,TU-ESTUDIANTE
G2S1,136,TU-EX GUERRILLERO
G2S1,136,VICTIMA-ESTUDIANTE
G2S1,136,VICTIMA-EX GUERRILLERO
G2S2,137,EX PARAMILITAR-ESTUDIANTE
G2S2,137,EX PARAMILITAR-EX GUERRILLERO
G2S2,137,TU-ESTUDIANTE
G2S2,137,TU-EX GUERRILLERO
G2S3,138,TU-ESTUDIANTE
G2S3,138,TU-VICTIMA
G2S3,138,VICTIMA-ESTUDIANTE
G2S3,138,VICTIMA-VICTIMA
G2S4,139,EX PARAMILITAR-ESTUDIANTE
G2S4,139,EX PARAMILITAR-EX GUERRILLERO
G2S4,139,TU-ESTUDIANTE
G2S4,139,TU-EX GUERRILLERO
G2S5,140,EX GUERRILLERO-ESTUDIANTE
G2S5,140,EX GUERRILLERO-EX PARAMILITAR
G2S5,140,TU-ESTUDIANTE
G2S5,140,TU-EX PARAMILITAR
G2S6,141,TU-ESTUDIANTE
G2S6,141,TU-VICTIMA
G2S6,141,VICTIMA-ESTUDIANTE
G2S6,141,VICTIMA-VICTIMA
G2S7,142,EX PARAMILITAR-ESTUDIANTE
G2S7,142,EX PARAMILITAR-EX GUERRILLERO
G2S7,142,TU-ESTUDIANTE
G2S7,142,TU-EX GUERRILLERO
G2S8,143,EX GUERRILLERO-ESTUDIANTE
G2S8,143,EX GUERRILLERO-VICTIMA
G2S8,143,TU-ESTUDIANTE
G2S8,143,TU-VICTIMA
G2S9,144,EX PARAMILITAR-ESTUDIANTE
G2S9,144,EX PARAMILITAR-EX PARAMILITAR
G2S9,144,TU-ESTUDIANTE
G2S9,144,TU-EX PARAMILITAR
G2S10,145,EX GUERRILLERO-ESTUDIANTE
G2S10,145,EX GUERRILLERO-VICTIMA
G2S10,145,TU-ESTUDIANTE
G2S10,145,TU-VICTIMA
G2S11,146,EX GUERRILLERO-ESTUDIANTE
G2S11,146,EX GUERRILLERO-EX GUERRILLERO
G2S11,146,TU-ESTUDIANTE
G2S11,146,TU-EX GUERRILLERO
G2S12,147,TU-ESTUDIANTE
G2S12,147,TU-EX PARAMILITAR
G2S12,147,VICTIMA-ESTUDIANTE
G2S12,147,VICTIMA-EX PARAMILITAR
G2S13,148,EX GUERRILLERO-ESTUDIANTE
G2S13,148,EX GUERRILLERO-EX PARAMILITAR
G2S13,148,TU-ESTUDIANTE
G2S13,148,TU-EX PARAMILITAR
G2S14,149,EX GUERRILLERO-ESTUDIANTE
G2S14,149,EX GUERRILLERO-EX PARAMILITAR
G2S14,149,TU-ESTUDIANTE
G2S14,149,TU-EX PARAMILITAR
G2S15,150,TU-ESTUDIANTE
G2S15,150,TU-VICTIMA
G2S15,150,VICTIMA-ESTUDIANTE
G2S15,150,VICTIMA-VICTIMA
G2S16,151,EX PARAMILITAR-ESTUDIANTE
G2S16,151,EX PARAMILITAR-EX PARAMILITAR
G2S16,151,TU-ESTUDIANTE
